name,email,bender,previous_programming,year
A,the-last-Rbender@duke.edu,Airbender,No,1
Appa,yip-yip-appa@duke.edu,Airbender,No,2
Bumi,ok-bumi@duke.edu,Earthbender,No,3
Soka,sokka-the-great@duke.edu,None,Somewhat,4
Katara,katara-water@duke.edu,Waterbender,Yes,1
Suki,suki123@duke.edu,Earthbender,Yes,2
Zuko,zuko123@duke.edu,Firebender,Yes,3
Momo,momo123@duke.edu,Airbender,Yes,4
Uncle Iroh,uncle-iroh123@duke.edu,Firebender,No,1
Azula,azula123@duke.edu,Firebender,Yes,2
Mai,mai123@duke.edu,Firebender,Yes,3
Toph Beifong,the-blind-bandit@duke.edu,Earthbender,No,4
